DATE,HOUR,UTC,TMP,DPT,WDR,WSP,WGS,PPO,PCO,P06,TP2,TC2,POZ,POS,TYP,CLD,CIG,CCG,VIS,CVS,OBV
1/12/2013,0300, 04, 43, 43, 03, 05, NG, 57,  Y,   ,   ,   ,  1,  1,  R, OV,  2,  2,  3,  3, BR
1/13/2013,0300, 04, 46, 44, 26, 01, NG,  1,  N,   ,   ,   ,  1,  0,  R, OV,  3,  3,  5,  5, BR
1/14/2013,0300, 04, 48, 48, 20, 02, NG, 29,  N,   ,   ,   ,  0,  0,  R, OV,  2,  2,  2,  2, FG
1/15/2013,0300, 04, 43, 30, 35, 12, NG, 69,  Y,   ,   ,   ,  2,  0,  R, OV,  6,  6,  7,  7,  N
1/16/2013,0300, 04, 38, 27, 03, 05, NG, 42,  Y,   ,   ,   ,  5, 16,  R, OV,  6,  6,  7,  6,  N
1/17/2013,0300, 04, 37, 34, 26, 08, NG,  1,  N,   ,   ,   ,  4, 11,  R, BK,  8,  7,  7,  6,  N
1/18/2013,0300, 04, 37, 25, 36, 09, NG,  9,  N,   ,   ,   ,  0, 80,  S, OV,  6,  6,  7,  7,  N
1/19/2013,0300, 04, 28, 12, 22, 06, NG,  1,  N,   ,   ,   ,  1, 99,  S, FW,  8,  7,  7,  7,  N
1/20/2013,0300, 04, 44, 28, 22, 14, 22,  0,  N,   ,   ,   ,  1,  4,  R, BK,  8,  7,  7,  7,  N
1/21/2013,0300, 04, 33, 11, 32, 12, NG,  0,  N,   ,   ,   ,  0, 91,  S, SC,  8,  7,  7,  7,  N
1/22/2013,0300, 04, 29, 16, 29, 09, NG,  4,  N,   ,   ,   ,  1, 99,  S, BK,  7,  6,  7,  7,  N
1/23/2013,0300, 04, 15, -2, 30, 14, 21,  2,  N,   ,   ,   ,  1, 99,  S, SC,  8,  6,  7,  6,  N
1/24/2013,0300, 04, 14,  1, 28, 06, NG,  4,  N,   ,   ,   ,  1, 99,  S, FW,  8,  6,  7,  6,  N
1/25/2013,0300, 04, 17, -1, 30, 12, 20,  0,  N,   ,   ,   ,  1, 99,  S, CL,  8,  8,  7,  6,  N
